accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000191805.1	2	99.37	0.63	278	o__Clostridiales (UID1226)	158	100	2709574	88.3357599602003	38	1255087	41.0460422911719	3067358	RS_GCF_004346095.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	not type material	none	f	7	1	378378	1867026	6374	4	2882	GL872355.1	6374	4	99	GL872355.1	2881	5321	0	100	ADCR01000029.574.3459	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Lachnospiraceae bacterium 6_1_37FAA	80467	204490	t	f	f	139995	1867026	Scaffold	Lach_bact_4_1_37FAA_V1	na	PRJNA41967	SAMN02463826	38	139995	none	2011-03-14	GCA_000191805.1	none	full	none	none	none	0	0	Lachnospiraceae bacterium 6_1_37FAA	none	na	6	15	1	1867026	376440	216657	2011/03/14	23	658656	1	6_1_37FAA	Broad Institute	658656	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium 6_1_37FAA	9602	3067358	11	63	none	3057756	0	ADCR00000000.1	3036	15	6374	7	none	none	none	none	none	none	1527	GL872355.1	1512	2736	0	99.339	HK241229.2.1512	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;unidentified	9602	20	63	1
GB_GCA_000194075.3	0	99.54	0.33	693	g__Mycobacterium (UID1816)	300	100	3898631	89.9532401921153	1	2845357	65.6510148442663	4334064	RS_GCF_000195955.2	f	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	not type material	none	f	1	1	4334064	4334064	4334064	1	3129	CP003494.1	none	0	none	none	3129	5779	0	100	CP033310.1546531.1549671	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis variant bovis BCG	4334064	4334064	f	f	t	4334064	4334064	Complete Genome	ASM19407v3	na	PRJNA63839	SAMN00771609	none	none	none	2014-03-14	GCA_000194075.3	none	full	none	none	none	1	0	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743	none	na	3	none	none	none	none	none	2014/03/14	0	1773	1	63839	Microbial Genome Research Center, CASPMI, IM-CAS	998092	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium tuberculosis complex;s__Mycobacterium tuberculosis;x__Mycobacterium tuberculosis variant bovis;x__Mycobacterium tuberculosis variant bovis BCG;x__Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743	0	4334064	11	44	none	4334064	0	none	4073	1	4334064	1	none	none	none	none	none	none	1529	CP003494.1	1529	2824	0	100	CP033311.1544701.1546241	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis variant bovis BCG	0	20	45	0
GB_GCA_000205205.1	0	98.01	0.37	475	o__Lactobacillales (UID544)	267	0	2617128	86.4800634706846	220	1123023	37.1404060490991	3026279	RS_GCF_000392875.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	not type material	none	f	30	12	141829	411065	916	2	891	GL884036.1	24861	1	109	GL883998.1	891	1635	0	99.776	CP031027.2621496.2624410	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	13744	24018	f	f	t	25933	81792	Scaffold	ASM20520v1	na	PRJNA47189	SAMN02299432	220	25933	none	2011-04-20	GCA_000205205.1	none	full	none	gut	none	0	1	Enterococcus faecalis TX1467	3510	na	2	126	12	81792	31698	15164	2011/04/20	94	1351	1	TX1467	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	749517	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;x__Enterococcus faecalis TX1467	2556	3026279	11	41	none	3023723	0	AFBS00000000.1	3283	126	539	2	none	none	none	none	none	none	523	GL884071.1	521	963	0	100	ASEA01000012.3461.5009	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis ATCC 10100	2556	20	41	0
GB_GCA_000209445.1	1	98.73	0	278	o__Clostridiales (UID1226)	158	0	2526470	88.8077683553759	26	1175349	41.3731307977786	2844875	RS_GCF_004346095.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	not type material	none	f	4	2	512654	1035082	6228	5	2882	GL890579.1	6228	2	111	GL890579.1	2881	5321	0	100	ACTX01000022.146.3031	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Lachnospiraceae bacterium 9_1_43BFAA	109263	237072	t	f	f	297828	672124	Scaffold	Lach_bact_9_1_43BFAA_V1	na	PRJNA39399	SAMN02463780	26	297828	none	2011-04-29	GCA_000209445.1	none	full	none	none	none	0	0	Lachnospiraceae bacterium 9_1_43BFAA	none	na	4	12	2	672124	348127	187883	2011/04/29	14	658088	1	9_1_43BFAA	Broad Institute	658088	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium 9_1_43BFAA	4023	2844875	11	53	none	2840852	0	ACTX00000000.1	2708	12	6228	3	none	none	none	none	none	none	1527	GL890579.1	1511	2791	0	100	HK241229.2.1512	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;unidentified	4023	20	53	1
GB_GCA_000209515.2	0	99.57	2.16	507	c__Gammaproteobacteria (UID4444)	232	25	2656553	88.0345636054845	455	1269235	42.0607265647653	3017625	GB_GCA_000209515.2	t	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Endobugula;s__Endobugula sp000209515	not type material	none	f	58	58	58310	58310	1824	4	1589	AEVK01000023.1	842	1	109	AEVK01000291.1	1602	2122	0	90.886	JXCJ01000001.1135298.1138180	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Gilvimarinus;Gilvimarinus agarilyticus	6632	6632	f	f	t	15139	15139	Contig	ASM20951v1	na	PRJNA61275	SAMN02469924	455	15139	none	2011-04-26	GCA_000209515.2	none	full	none	none	none	0	0	gamma proteobacterium IMCC1989	none	na	8	none	none	none	none	none	2011/04/26	0	937772	0	IMCC1989	Inha university	937772	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;x__unclassified Alteromonadales;s__gamma proteobacterium IMCC1989	0	3017625	11	28	none	3017625	0	AEVK00000000.1	3041	455	547	3	none	none	none	none	none	none	542	AEVK01000358.1	542	989	0	99.631	HQ242533.1.1497	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;uncultured gamma proteobacterium	0	19	31	0
GB_GCA_000209835.1	0	97.94	0.32	278	o__Clostridiales (UID1226)	158	0	3026082	85.3473849040192	68	1551613	44.1852061104701	3545606	RS_GCF_001487165.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis	not type material	none	f	13	1	207066	3545606	3545606	1	1277	FP929053.1	none	0	none	none	1276	2346	0	99.843	FMES01000020.1965.4850	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured Blautia sp.	51641	3545606	f	f	t	85527	3545606	Chromosome	ASM20983v1	na	PRJNA39149	SAMEA3138351	68	85527	none	2010-03-25	GCA_000209835.1	none	full	none	none	none	1	0	Ruminococcus sp. SR1/5	3260	na	2	1	1	3545606	3545606	3545606	2010/03/25	67	657323	1	5;SR1;SR1/5	MetaHIT	657323	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;x__unclassified Ruminococcus;s__Ruminococcus sp. SR1/5	33994	3545606	11	47	none	3511612	0	none	3669	1	3545606	1	none	none	none	none	none	none	780	FP929053.1	769	1421	0	100	FAVI01000005.402996.404464	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia sp. GD9	33994	18	47	0
GB_GCA_000211255.2	0	99.63	0	475	o__Lactobacillales (UID544)	267	0	2733631	87.3136349669639	5	1169046	37.3399539673018	3130818	RS_GCF_000392875.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	not type material	none	f	1	1	2988673	2988673	2988673	4	2908	CP002491.1	2988673	4	109	CP002491.1	2908	5371	0	100	CP015883.366000.368914	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	626163	626163	t	f	f	2988673	2988673	Complete Genome	ASM21125v2	na	PRJNA61185	SAMN02603509	none	none	none	2011-02-16	GCA_000211255.2	none	full	none	none	none	5	0	Enterococcus faecalis 62	3075	na	12	none	none	none	none	none	2011/02/16	0	1351	4	62	Laboratory of Microbial Gene Technology and Food Microbiology, Department of Chemistry, Biotechnology and Food Science, Norwegian University of Life Sciences	936153	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;x__Enterococcus faecalis 62	0	3100313	11	54	none	3100313	0	none	3019	5	2988673	4	none	none	none	none	none	none	1557	CP002491.1	1557	2876	0	100	CP031027.221249.222814	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	0	20	54	0
GB_GCA_000213735.2	6	99.33	0.26	1396	f__Enterobacteriaceae (UID5203)	314	0	4176965	84.9145419556977	81	2493903	50.6992252108958	4919022	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	13	13	330296	330296	123926	14	2900	AFGY01000059.1	79332	14	355	AFGY01000049.1	2900	5356	0	100	AFGY01000059.120817.123718	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Shigella flexneri K-227	60728	60728	t	f	f	123926	123926	Contig	ASM21373v2	na	PRJNA49073	SAMN00792442	81	123926	none	2011-05-13	GCA_000213735.2	none	full	none	none	none	0	0	Shigella flexneri K-227	5494	na	38	none	none	none	none	none	2011/05/13	0	623	9	K-227	Institute for Genome Sciences	766147	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;x__Shigella flexneri K-227	0	4919022	11	113	none	4919022	0	AFGY00000000.1	5353	81	81700	14	none	none	none	none	none	none	1538	AFGY01000055.1	1538	2841	0	100	CU928145.224266.225807	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli 55989	0	20	113	1
GB_GCA_000215265.2	0	99.93	0.45	1207	f__Enterobacteriaceae (UID5162)	328	0	4994092	87.1681096964445	90	2897292	50.5700469431943	5729265	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	8	8	706913	706913	9403	5	2903	AEZZ02000023.1	32149	8	355	AEZZ02000008.1	2903	5361	0	100	AEZZ02000023.1773.4679	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli 9.0111	63658	63658	t	f	f	197982	197982	Contig	ASM21526v2	na	PRJNA51119	SAMN02436553	90	197982	none	2012-05-02	GCA_000215265.2	none	full	none	none	none	0	47	Escherichia coli 9.0111	none	na	18	none	none	none	none	none	2012/05/02	0	562	4	9.0111	E. coli Reference Center	869686	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli 9.0111	0	5729265	11	81	none	5729265	0	AEZZ00000000.2	5763	90	36433	5	none	none	none	none	none	none	1537	AEZZ02000003.1	1537	2839	0	100	CP028110.2280741.2282294	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli O121 str. RM8352	0	20	81	1
GB_GCA_000225085.2	0	99.58	0.18	1207	f__Enterobacteriaceae (UID5162)	328	0	4586413	87.3388371269748	90	2659740	50.6492979720971	5251287	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	13	13	452845	452845	419013	9	2903	AFDT01000057.1-#2	131920	7	355	AFDT01000054.1	2903	5361	0	100	AFDT01000057.386443.389347	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli 3030-1	58347	58347	t	f	f	122974	122974	Contig	ASM22508v2	na	PRJNA48253	SAMN00016548	90	122974	none	2011-09-01	GCA_000225085.2	none	full	none	none	none	0	0	Escherichia coli 3030-1	none	na	22	none	none	none	none	none	2011/09/01	0	562	7	3030-1	Institute for Genome Sciences	754080	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli 3030-1	0	5251287	11	88	none	5251287	0	AFDT00000000.1	5215	90	101066	7	none	none	none	none	none	none	1538	AFDT01000046.1	1538	2822	0	99.805	CP032892.4729892.4731445	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	20	87	1
GB_GCA_000225165.2	0	99.06	0.21	1173	f__Enterobacteriaceae (UID5124)	336	66.67	4240537	87.0651707041448	107	2468954	50.691669821695	4870532	RS_GCF_003697165.2	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	7	7	624491	624491	162626	8	2901	AFDX01000040.1	63524	6	355	AFDX01000034.1	2901	5358	0	100	AFDX01000040.70869.73771	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli G58-1	45518	45518	t	f	f	281610	281610	Contig	ASM22516v2	na	PRJNA48249	SAMN00015374	107	281610	none	2011-09-01	GCA_000225165.2	none	full	none	none	none	0	0	Escherichia coli G58-1	none	na	18	none	none	none	none	none	2011/09/01	0	562	6	G58-1	Institute for Genome Sciences	754078	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli G58-1	0	4870532	11	86	none	4870532	0	AFDX00000000.1	4740	107	12901	8	none	none	none	none	none	none	1538	AFDX01000035.1	1538	2841	0	100	CP032667.454613.456166	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli str. K-12 substr. MG1655	0	20	85	1
GB_GCA_000232245.2	1	98.4	0.21	761	g__Streptococcus (UID584)	238	0	1860868	84.2933307966534	16	874915	39.6317916805014	2207610	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	3	3	545407	545407	215714	5	2897	AGOJ01000014.1	5727	7	108	AGOJ01000004.1	2897	5350	0	100	AGOJ01000014.212621.215520	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae GA41410	137975	137975	t	f	f	277184	277184	Contig	ASM23224v2	na	PRJNA48781	SAMN00792780	16	277184	USA: Metropolitan Atlanta	2011-10-25	GCA_000232245.2	none	full	none	none	none	0	0	Streptococcus pneumoniae GA41410	2520	na	17	none	none	none	none	none	2011/10/25	0	1313	5	GA41410	Institute for Genome Sciences	760811	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae GA41410	0	2207610	11	55	none	2207610	0	AGOJ00000000.1	2428	16	227966	5	none	none	none	none	none	none	1544	AGOJ01000016.1-#2	1543	2826	0	99.741	AP018043.1295379.1296927	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	55	0
GB_GCA_000232665.2	0	99.08	0.21	761	g__Streptococcus (UID584)	238	0	1759346	85.0077550093495	12	824565	39.8411793412349	2069630	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	2	2	1032076	1032076	5873	6	2898	AGPE01000009.1	52197	6	108	AGPE01000007.1	2896	5349	0	100	AGPE01000009.785.3683	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae GA16242	172469	172469	t	f	f	231016	231016	Contig	ASM23266v2	na	PRJNA48717	SAMN00792749	12	231016	none	2011-10-25	GCA_000232665.2	none	full	none	none	none	0	0	Streptococcus pneumoniae GA16242	none	na	16	none	none	none	none	none	2011/10/25	0	1313	5	GA16242	Institute for Genome Sciences	760780	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae GA16242	0	2069630	11	56	none	2069630	0	AGPE00000000.1	2089	12	191703	5	none	none	none	none	none	none	1543	AGPE01000012.1	1544	2815	0	99.611	CP026670.16761.18312	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	56	0
GB_GCA_000232825.2	1	99.32	0.2	704	g__Streptococcus (UID576)	251	0	1855627	84.6213164543108	13	870925	39.7164158753481	2192860	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	2	2	984392	984392	7638	8	2901	AGPM01000001.1	7638	8	108	AGPM01000001.1	2899	5354	0	100	AGPM01000001.4467.7368	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae GA41277	168681	168681	t	f	f	345845	345845	Contig	ASM23282v2	na	PRJNA48775	SAMN00792777	13	345845	none	2011-10-25	GCA_000232825.2	none	full	none	none	none	0	0	Streptococcus pneumoniae GA41277	2347	na	20	none	none	none	none	none	2011/10/25	0	1313	5	GA41277	Institute for Genome Sciences	760808	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae GA41277	0	2192860	11	63	none	2192860	0	AGPM00000000.1	2267	13	137393	5	none	none	none	none	none	none	1543	AGPM01000009.1	1543	2843	0	99.935	AP018044.1746850.1748398	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	63	0
GB_GCA_000232905.2	0	98.89	0.6	704	g__Streptococcus (UID576)	251	50	1774777	85.1967115217709	12	825496	39.6272571564629	2083152	RS_GCF_001457635.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	not type material	none	f	1	1	1042639	1042639	203406	5	2900	AGPQ01000010.1	7147	5	108	AGPQ01000001.1	2898	5352	0	100	AGPQ01000010.210.3110	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae GA43380	173596	173596	t	f	f	1042639	1042639	Contig	ASM23290v2	na	PRJNA48797	SAMN00792789	12	1042639	none	2011-10-25	GCA_000232905.2	none	full	none	none	none	0	0	Streptococcus pneumoniae GA43380	none	na	15	none	none	none	none	none	2011/10/25	0	1313	5	GA43380	Institute for Genome Sciences	760819	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae;x__Streptococcus pneumoniae GA43380	0	2083152	11	55	none	2083152	0	AGPQ00000000.1	2095	12	203406	5	none	none	none	none	none	none	1544	AGPQ01000010.1	1544	2839	0	99.87	LN847353.1954783.1956345	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	0	20	55	0
GB_GCA_000233735.1	0	99.12	0	457	o__Actinomycetales (UID1812)	227	0	2009919	88.1884571136729	1	1189530	52.1925587003393	2279118	RS_GCF_002155265.1	f	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis	not type material	none	f	1	1	2279118	2279118	2279118	4	3064	CP003082.1	2279118	4	112	CP003082.1	3064	5659	0	100	CP003082.599675.602756	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 1/06-A	2279118	2279118	t	f	f	2279118	2279118	Complete Genome	ASM23373v1	na	PRJNA73235	SAMN02603752	none	none	none	2011-11-03	GCA_000233735.1	none	full	none	none	none	1	0	Corynebacterium pseudotuberculosis 1/06-A	none	na	12	none	none	none	none	none	2011/11/03	0	1719	4	1;06-A;1/06-A	Rede Paraense de Genomica e Proteomica	1087454	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis;x__Corynebacterium pseudotuberculosis 1/06-A	0	2279118	11	49	none	2279118	0	none	2160	1	2279118	4	none	none	none	none	none	none	1516	CP003082.1	1516	2800	0	100	CP012022.1875795.1877320	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis	0	20	49	0
